Title,Year,Affiliations
"An Introductory Review of Spiking Neural Network and Artificial Neural
  Network: From Biological Intelligence to Artificial Intelligence",2022,Independent
Human in the AI loop via xAI and Active Learning for Visual Inspection,2023,Independent
Artificial Intelligence: A Child's Play,2019,Independent
"Man and Machine: Questions of Risk, Trust and Accountability in Today's
  AI Technology",2013,Independent
"Controlled Language and Baby Turing Test for General Conversational
  Intelligence",2020,Independent
Frontiers in Collective Intelligence: A Workshop Report,2021,Independent
Blockchain Intelligence: When Blockchain Meets Artificial Intelligence,2019,Independent
"Synergetic Learning Systems: Concept, Architecture, and Algorithms",2020,Independent
"Intelligent Computing: The Latest Advances, Challenges and Future",2022,Independent
Measurements of collective machine intelligence,2013,Independent
What is an intelligent system?,2020,Independent
The Role of Artificial Intelligence Technologies in Crisis Response,2008,Independent
A Systematic Approach to Artificial Agents,2009,Independent
Comparison between the two definitions of AI,2013,Independent
Probability Judgement in Artificial Intelligence,2013,Independent
AI Methods in Algorithmic Composition: A Comprehensive Survey,2014,Independent
ICON Challenge on Algorithm Selection,2015,Independent
A Python Engine for Teaching Artificial Intelligence in Games,2015,Independent
Rational Choice and Artificial Intelligence,2017,Independent
A Reputation System for Artificial Societies,2018,Independent
Bias Amplification in Artificial Intelligence Systems,2018,Independent
"Using Scratch to Teach Undergraduate Students' Skills on Artificial
  Intelligence",2019,Independent
"Implications of Quantum Computing for Artificial Intelligence alignment
  research",2019,Independent
Artificial Intelligence Approaches,2019,Independent
"Imagine All the People: Citizen Science, Artificial Intelligence, and
  Computational Research",2021,Independent
"MHealth: An Artificial Intelligence Oriented Mobile Application for
  Personal Healthcare Support",2021,Independent
Certifiable Artificial Intelligence Through Data Fusion,2021,Independent
"Proceedings of the Robust Artificial Intelligence System Assurance
  (RAISA) Workshop 2022",2022,Independent
CLAS12 Track Reconstruction with Artificial Intelligence,2022,Independent
State of the Art in Artificial Intelligence applied to the Legal Domain,2022,Independent
Witgenstein's influence on artificial intelligence,2023,Independent
AI for Agile development: a Meta-Analysis,2023,Independent
Intelligent Autonomous Things on the Battlefield,2019,Independent
What can the brain teach us about building artificial intelligence?,2019,Independent
Co-evolutionary hybrid intelligence,2021,Independent
"The Emerging Artificial Intelligence Protocol for Hierarchical
  Information Network",2023,Independent
Simulation of Human and Artificial Emotion (SHArE),2020,Independent
Quantization of Games: Towards Quantum Artificial Intelligence,2004,Independent
Identifying Independencies in Causal Graphs with Feedback,2013,Independent
Coefficients of Relations for Probabilistic Reasoning,2013,Independent
"Evolution towards Smart Optical Networking: Where Artificial
  Intelligence (AI) meets the World of Photonics",2017,Independent
"Explainable artificial intelligence (XAI), the goodness criteria and the
  grasp-ability test",2018,Independent
Constructing Lower Probabilities,2013,Independent
The Assumptions Behind Dempster's Rule,2013,Independent
"The Nature of the Unnormalized Beliefs Encountered in the Transferable
  Belief Model",2013,Independent
"KI, Philosophie, Logik",2018,Independent
"Super forecasting the technological singularity risks from artificial
  intelligence",2022,Independent
"To Root Artificial Intelligence Deeply in Basic Science for a New
  Generation of AI",2020,Independent
Quantum Operation of Affective Artificial Intelligence,2023,Independent
"Digital twin brain: a bridge between biological intelligence and
  artificial intelligence",2023,Independent
One Decade of Universal Artificial Intelligence,2012,Independent
Artificial Intelligence and Asymmetric Information Theory,2015,Independent
"Designing Artificial Cognitive Architectures: Brain Inspired or
  Biologically Inspired?",2018,Independent
"Surveying the reach and maturity of machine learning and artificial
  intelligence in astronomy",2019,Independent
"Mind the Gap! Bridging Explainable Artificial Intelligence and Human
  Understanding with Luhmann's Functional Theory of Communication",2023,Independent
"A Review on Explainable Artificial Intelligence for Healthcare: Why,
  How, and When?",2023,Independent
Game-based Platforms for Artificial Intelligence Research,2023,Independent
Naive Artificial Intelligence,2020,Independent
"Compression, The Fermi Paradox and Artificial Super-Intelligence",2021,Independent
How Intelligent is your Intelligent Robot?,2017,Independent
Realizing Intelligence,2018,Independent
Memory Based Machine Intelligence Techniques in VLSI hardware,2012,Independent
"Towards a Hierarchical Model of Consciousness, Intelligence, Mind and
  Body",2005,Independent
Agent Models of Political Interactions,2008,Independent
A primer on Answer Set Programming,2005,Independent
"Quantitative Analysis of Whether Machine Intelligence Can Surpass Human
  Intelligence",2015,Independent
Introduction to intelligent computing unit 1,2017,Independent
"Design of a dynamic and self adapting system, supported with artificial
  intelligence, machine learning and real time intelligence for predictive
  cyber risk analytics in extreme environments, cyber risk in the colonisation
  of Mars",2020,Independent
"Intelligence via ultrafilters: structural properties of some
  intelligence comparators of deterministic Legg-Hutter agents",2019,Independent
Universal Intelligence: A Definition of Machine Intelligence,2007,Independent
Measuring Intelligence through Games,2011,Independent
Extended Intelligence,2022,Independent
Seq2Seq AI Chatbot with Attention Mechanism,2020,Independent
Ethical Considerations for AI Researchers,2020,Independent
The Next Decade of Telecommunications Artificial Intelligence,2021,AsiaInfo Technologies
Avoiding Undesired Choices Using Intelligent Adaptive Systems,2014,Independent
Object-Process Methodology for Intelligent System Development,2021,Independent
Detecting Qualia in Natural and Artificial Agents,2017,Independent
